"alarm","date","activity","happy","content","relaxed","horny"
2021-03-05T08:19,2021-03-05T08:19,"",48,45,51,
2021-03-05T09:31,2021-03-05T09:31,"",,,,
2021-03-05T11:01,2021-03-05T11:01,"",53,53,55,
2021-03-05T11:24,2021-03-05T11:24,"",51,53,54,
2021-03-05T14:16,2021-03-05T14:16,"",47,45,51,
2021-03-05T15:02,2021-03-05T15:02,"",48,48,49,
2021-03-05T17:38,2021-03-05T17:38,"",57,55,54,
2021-03-05T17:53,2021-03-05T17:53,"",52,53,55,
2021-03-05T19:23,2021-03-05T19:23,"",52,53,55,
2021-03-05T19:53,2021-03-05T19:53,"",,,,
2021-03-05T19:53,2021-03-05T19:53,"",54,54,39,
2021-03-05T21:45,2021-03-05T21:45,"",56,59,58,
2021-03-05T22:17,2021-03-05T22:17,"",53,54,54,
2021-03-06T11:53,2021-03-06T11:53,"",49,45,52,
2021-03-06T13:41,2021-03-06T13:41,"",52,54,55,
2021-03-06T13:56,2021-03-06T13:56,"",52,54,53,
2021-03-06T14:12,2021-03-06T14:12,"",54,53,53,
2021-03-06T20:27,2021-03-06T20:27,"",49,47,53,
2021-03-06T21:28,2021-03-06T21:28,"",46,48,52,
2021-03-06T23:01,2021-03-06T23:01,"",53,55,53,
2021-03-07T11:55,2021-03-07T11:55,"",51,52,55,
2021-03-07T13:41,2021-03-07T13:41,"",51,50,54,
2021-03-07T14:13,2021-03-07T14:13,"",49,47,53,
2021-03-07T14:28,2021-03-07T14:28,"",52,51,54,
2021-03-07T14:43,2021-03-07T14:43,"",48,47,46,
2021-03-07T18:36,2021-03-07T18:36,"",48,49,51,
2021-03-08T10:02,2021-03-08T10:02,"",51,54,54,
2021-03-08T10:32,2021-03-08T10:32,"",52,50,51,
2021-03-08T10:47,2021-03-08T10:47,"",49,46,51,
2021-03-08T11:25,2021-03-08T11:25,"",51,51,53,
2021-03-08T11:57,2021-03-08T11:57,"",52,51,53,
2021-03-08T12:48,2021-03-08T12:48,"",51,51,54,
2021-03-08T15:25,2021-03-08T15:25,"",52,53,54,
2021-03-08T15:40,2021-03-08T15:40,"",51,52,52,
2021-03-08T17:43,2021-03-08T17:43,"",48,47,52,
2021-03-09T12:57,2021-03-09T12:57,"",51,48,52,
2021-03-09T14:01,2021-03-09T14:01,"",48,49,52,
2021-03-09T15:49,2021-03-09T15:49,"",53,53,48,
2021-03-09T17:06,2021-03-09T17:06,"",52,54,56,
2021-03-09T19:42,2021-03-09T19:42,"",47,44,52,
2021-03-10T10:48,2021-03-10T10:48,"",51,52,54,
2021-03-10T12:16,2021-03-10T12:16,"",52,49,51,
2021-03-10T12:37,2021-03-10T12:37,"",54,55,52,
2021-03-10T12:54,2021-03-10T12:54,"",52,53,53,
2021-03-10T13:27,2021-03-10T13:27,"",51,52,55,
2021-03-10T13:41,2021-03-10T13:41,"",52,51,52,
2021-03-10T13:58,2021-03-10T13:58,"",53,48,52,
2021-03-10T14:13,2021-03-10T14:13,"",51,49,53,
2021-03-10T15:00,2021-03-10T15:00,"",48,46,46,
2021-03-10T15:16,2021-03-10T15:16,"",56,54,52,
2021-03-10T15:46,2021-03-10T15:46,"",54,54,53,
2021-03-10T16:01,2021-03-10T16:01,"",53,52,56,
2021-03-10T17:50,2021-03-10T17:50,"",54,49,54,
2021-03-10T18:20,2021-03-10T18:20,"",48,48,54,
2021-03-11T09:57,2021-03-11T09:57,"",46,45,55,
2021-03-11T12:17,2021-03-11T12:17,"",53,54,53,
2021-03-11T13:51,2021-03-11T13:51,"",52,49,51,
2021-03-11T17:01,2021-03-11T17:01,"",53,54,52,
2021-03-11T17:32,2021-03-11T17:32,"",53,52,53,
2021-03-12T08:20,2021-03-12T08:20,"",,,,
2021-03-12T08:20,2021-03-12T08:20,"",52,54,56,
