Depart,Start,End,Return,First,Last,Amount
2023-01-24T17:18:00,2023-01-24T17:38:00,2023-01-24T19:25:00,2023-01-24T19:25:00,492,494,2
2023-01-25T18:25:00,2023-01-25T18:25:00,2023-01-25T19:30:00,2023-01-25T19:30:00,494,496,2
2023-01-26T17:28:00,2023-01-26T17:45:00,2023-01-26T19:15:00,2023-01-26T19:45:00,496,496,0
2023-01-28T13:15:00,2023-01-28T14:00:00,2023-01-28T16:45:00,2023-01-28T17:00:00,496,506,10
2023-01-30T17:45:00,2023-01-30T18:05:00,2023-01-30T19:52:00,2023-01-30T20:23:00,506,509,3
2023-02-01T18:15:00,2023-02-01T18:15:00,2023-02-01T19:28:00,2023-02-01T19:28:00,509,512,3
2023-02-02T17:25:00,2023-02-02T17:34:00,2023-02-02T19:12:00,2023-02-02T19:35:00,512,513,1
2023-02-03T18:30:00,2023-02-03T18:42:00,2023-02-03T19:52:00,2023-02-03T19:52:00,513,515,2
2023-02-04T13:28:00,2023-02-04T14:00:00,2023-02-04T16:35:00,2023-02-04T17:05:00,515,520,5
2023-02-06T17:24:00,2023-02-06T17:35:00,2023-02-06T18:54:00,2023-02-06T19:04:00,520,523,3
2023-02-07T18:35:00,2023-02-07T18:35:00,2023-02-07T19:02:00,2023-02-07T19:02:00,523,523,0
2023-02-08T18:23:00,2023-02-08T18:23:00,2023-02-08T19:23:00,2023-02-08T19:23:00,523,527,4
2023-02-09T15:37:00,2023-02-09T16:00:00,2023-02-09T18:00:00,2023-02-09T18:33:00,527,536,9
2023-02-10T17:38:00,2023-02-10T17:48:00,2023-02-10T19:27:00,2023-02-10T19:39:00,536,537,1
2023-02-11T13:37:00,2023-02-11T14:10:00,2023-02-11T16:30:00,2023-02-11T16:45:00,537,540,3
2023-02-12T13:37:00,2023-02-12T14:00:00,2023-02-12T16:00:00,2023-02-12T16:30:00,540,550,10
2023-02-13T18:18:00,2023-02-13T18:29:00,2023-02-13T19:49:00,2023-02-13T19:57:00,550,553,3
2023-02-14T17:40:00,2023-02-14T18:40:00,2023-02-14T20:12:00,2023-02-14T20:35:00,553,558,5
2023-02-16T17:05:00,2023-02-16T17:19:00,2023-02-16T17:40:00,2023-02-16T17:40:00,558,558,0
2023-02-17T17:45:00,2023-02-17T18:00:00,2023-02-17T19:19:00,2023-02-17T19:25:00,558,558,0
2023-02-18T13:30:00,2023-02-18T14:03:00,2023-02-18T16:33:00,2023-02-18T17:35:00,558,564,6
2023-03-09T17:40:00,2023-03-09T17:40:00,2023-03-09T18:25:00,2023-03-09T18:25:00,564,564,0
2023-03-10T16:40:00,2023-03-10T16:40:00,2023-03-10T17:52:00,2023-03-10T17:52:00,564,567,3
2023-03-13T14:27:00,2023-03-13T15:00:00,2023-03-13T17:45:00,2023-03-13T17:45:00,567,569,2
2023-03-14T14:16:00,2023-03-14T14:16:00,2023-03-14T16:00:00,2023-03-14T16:00:00,569,574,5
2023-03-15T15:15:00,2023-03-15T15:30:00,2023-03-15T17:45:00,2023-03-15T18:00:00,574,578,4
2023-03-16T15:24:00,2023-03-16T15:24:00,2023-03-16T16:51:00,2023-03-16T16:51:00,578,581,3
2023-03-18T13:27:00,2023-03-18T14:05:00,2023-03-18T17:03:00,2023-03-18T17:49:00,581,588,7
2023-03-21T15:27:00,2023-03-21T15:27:00,2023-03-21T18:20:00,2023-03-21T18:20:00,588,588,0
2023-03-22T15:16:00,2023-03-22T15:16:00,2023-03-22T16:53:00,2023-03-22T17:16:00,588,593,5
2023-04-15T13:30:00,2023-04-15T14:00:00,2023-04-15T15:38:00,2023-04-23T16:05:00,593,594,1
2023-05-06T13:35:00,2023-05-06T14:05:00,2023-05-06T15:50:00,2023-05-06T16:20:00,594,594,0
2023-05-27T13:30:00,2023-05-27T14:10:00,2023-05-27T16:10:00,2023-05-27T16:30:00,594,596,2
2023-06-03T13:40:00,2023-06-03T14:10:00,2023-06-03T16:03:00,2023-06-03T16:25:00,596,597,1
2024-07-05T17:05:00,2024-07-05T17:23:00,2024-07-05T18:26:00,2024-07-05T18:40:00,597,597,0
2024-07-06T14:10:00,2024-07-06T14:22:00,2024-07-06T15:26:00,2024-07-06T15:50:00,597,597,0
2024-07-09T16:55:00,2024-07-09T17:10:00,2024-07-09T18:02:00,2024-07-09T18:30:00,597,597,0
2024-07-11T17:15:00,2024-07-11T17:32:00,2024-07-11T18:24:00,2024-07-11T18:40:00,597,597,0
2024-07-13T15:14:00,2024-07-13T15:24:00,2024-07-13T17:42:00,2024-07-13T18:03:00,597,598,1
2024-07-16T17:13:00,2024-07-16T17:26:00,2024-07-16T18:31:00,2024-07-16T18:42:00,598,598,0
2024-07-18T17:18:00,2024-07-18T17:29:00,2024-07-18T18:35:00,2024-07-18T18:48:00,598,598,0
2024-07-20T13:59:00,2024-07-20T14:11:00,2024-07-20T16:07:00,2024-07-20T16:20:00,598,599,1
2024-07-23T17:19:00,2024-07-23T17:27:00,2024-07-23T18:20:00,2024-07-23T18:32:00,598,599,1
2024-07-25T18:20:00,2024-07-25T18:38:00,2024-07-25T20:20:00,2024-07-25T20:40:00,599,599,0
2024-07-26T17:20:00,2024-07-26T17:33:00,2024-07-26T18:33:00,2024-07-26T18:57:00,599,599,0
2024-07-28T13:16:00,2024-07-28T13:33:00,2024-07-28T14:59:00,2024-07-28T15:18:00,599,599,0
2024-08-02T18:06:00,2024-08-02T18:22:00,2024-08-02T19:20:00,2024-08-02T19:46:00,599,599,0
2024-08-03T17:40:00,2024-08-03T17:54:00,2024-08-03T19:02:00,2024-08-03T19:15:00,599,599,0
2024-08-06T17:19:00,2024-08-06T17:35:00,2024-08-06T18:37:00,2024-08-06T18:47:00,599,599,0
2024-08-21T17:41:00,2024-08-21T18:03:00,2024-08-21T19:10:00,2024-08-21T19:25:00,599,599,0
2024-08-22T17:17:00,2024-08-22T17:18:00,2024-08-22T19:45:00,2024-08-22T20:05:00,599,602,3
2024-08-23T17:17:00,2024-08-23T17:43:00,2024-08-23T19:15:00,2024-08-23T19:55:00,602,604,2
